Pelatihan kreasi anyaman dari bungkus kemasan tingkat dasar,2019-09-20,Kegiatan pelatihan kreasi anyaman dari bungkus kemasan diikuti oleh mayoritas ibu-ibu dari RT 04 Gesikan. Bantul. Yogyakarta. Kegiatan ini bertujuan mengolah sampah yang dibawa oleh masing-masing peserta sebagai barang siap pakai kembali seperti karpet anyaman dan barang anyaman lainnya,https://storage.cloud.google.com/gestari_bucket/images/journey-1.png
Pelatihan Pemanfaatan Minyak Bekas,2019-09-27,Minyak yang sudah digunakan memasak berkali-kali rentan dengan potensi masalah yang ditimbulkannya. Bank Gestari mengajak masyarakat setempat untuk memanfaatkan Minyak Bekas yang tidak lagi layak menjadi barang jadi seperti lilin dan parafin,https://storage.cloud.google.com/gestari_bucket/images/journey-2.png
Kompaster Gestari saat Mewakili Pedukuhan Jaranan dalam Festival Sedesa di Lapangan Kweni Panggungharjo (demo pembuatan lilin jelantah),2019-12-19,Kegiatan Festival Sedesa yang diadakan di Lapangan Kweni Panggungharjo menjadi ajang promosi eksistensi Bank Gestari di Masyarakat yang lebih luas. Pembuatan lilin dari minyak jelantah yang sudah dilatih sebelumnya kemudian di demonstrasikan dengan baik untuk menampilkan salah satu keterampilan yang dimiliki dari Bank Gestari selain dalam jual-beli sampah,https://storage.cloud.google.com/gestari_bucket/images/journey-3.png
Sosialisasi Program dan Penyuluhan tentang Pengelolaan Sampah Rumah Tangga,2019-07-07,Sampah rumah tangga yang menjadi urjensi dimanapun masyarakat tinggal menjadi salah satu latar belakang diadakannya penyuluhan tentang pengelolaan sampah rumah tangga. Sampah rumah tangga seperti botol bekas nyatanya dapat digunakan kembali seperti pot tanaman atau dijual pada sebuah kelompok Bank Sampah yang ada untuk dikelola menjadi bahan baku oleh pihak ketiga. Bank Gestari memfasilitasi hal tersebut,https://storage.cloud.google.com/gestari_bucket/images/journey-4.png
Pembuatan Tong KomPAS,2019-07-26,Masyarakat RT 04 Gesikan. Bantul. Yogyakarta sangat antusias dalam pembuatan Tong KomPAS sebagai bentuk usaha pengelolaan sampah organik. Kegiatan ini juga meningkatkan hubungan sosial antar warga khususnya bapak-bapak RT 04 untuk bersama-sama menyukseskan pembuatan tong KomPAS ini,https://storage.cloud.google.com/gestari_bucket/images/journey-5.png
pelatihan pembuatan pembalut kain yg diadakan oleh mhs KKN UIN Jogja-Bandung,2020-08-14,Wanita adalah konsumen tetap pembalut. Mengetahui hal tersebut serta adanya potensi menumpuknya sampah kain. Mahasiswa KKN dari UIN Sunan Kalijaga Yogyakarta menggandeng Bank Sampah Gestari untuk mengolah kain menjadi sebuah produk yang sangat dibutuhkan kaum hawa yakni pembalut kain,https://storage.cloud.google.com/gestari_bucket/images/journey-6.png
Lomba Kreasi Daur Ulang,2020-08-17,Peringatan hari kemerdekaan dimeriahkan dengan kegiatan lomba daur ulang yang diselenggarakan oleh Bank Sampah Gestari. Masyarakat sangat antusias dengan lomba tersebut dibuktikan dengan banyaknya warga RT 04 Gesikan. Bantul. Yogyakarta yang mulai untuk mendaur sampahnya menjadi barang yang menarik seperti tas; pot; anyaman dan lainnya,https://storage.cloud.google.com/gestari_bucket/images/journey-7.png
Pelatihan bertanam secara hidroponik menggunakan sampah plastik,2020-08-30,Kegiatan pertanaman tidak selalu menggunakan tanah sebagai medianya. Hidroponik adalah salah satu alternatif untuk menumbuhkan tanaman dengan mengalirkan air bernutrisi melewati akar tanaman secara langsung yang diletakkan dalam wadah. Bank Sampah Gestari mencoba untuk memadukan sistem tanam hidroponik dengan pemanfaatan sampah plastik. Produk yang dihasilkan cukup menarik perhatian masyarakat setempat,https://storage.cloud.google.com/gestari_bucket/images/journey-8.png
Pelatihan pembuatan pot dari baju bekas oleh BaMusKal Panggungharjo,2020-10-11,Tidak hanya barang bermaterial plastik yang dapat digunakan menjadi pot tanaman. Nyatanya baju bekas yang notabenenya adalah barang bermaterial kain juga dapat digunakan sebagai media/wadah pertanaman. BaMusKal Panggungarjo bersama dengan Bank Gestari mewujudkan kegiatan menarik tersebut untuk memberikan insight baru pada masyarakat RT 04 Gesikan. Bantul. Yogyakarta,https://storage.cloud.google.com/gestari_bucket/images/journey-9.png
Pelatihan pengelolaan sampah organik dengan komposter ember tumpuk dan biopori ember + pembuatan pot dari botol bekas,2020-10-11,Sampah organik menjadi salah satu sampah “wajib” setiap rumah tangga. Manusia selalu menghasilkan minimal satu sampah organik setiap hari hasil makanan atau bungkusnya (seperti kertas). Bank Gestari memberi fasilitas warga RT 04 Gesikan. Bantul. Yogyakarta untuk mengelola sampah organik mereka. Digabungkan dengan kegiatan pembuatan pot dari botol bekas dan biopori. Masyarakat mendapat beberapa ilmu sekaligus dalam satu waktu,https://storage.cloud.google.com/gestari_bucket/images/journey-10.png
